id,text,created_at,lang,retweet_count,reply_count,like_count,source,query,category,date,hour,day_of_week,cleaned_text,readable_text,entities,text_length,word_count,processed_date,vader_negative,vader_neutral,vader_positive,vader_compound,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment
1e+18,Just got the new iPhone 15 Pro Max and the camera is absolutely amazing! #iPhone,2025-03-24 17:54:36.956172+00:00,en,23,27,135,Twitter for Android,iPhone,iphone,2025-03-24,17,Monday,got new pro max camera absolutely amazing,just got the new iphone pro max and the camera is absolutely amazing iphone,"{'CARDINAL': ['15'], 'MONEY': ['iPhone']}",80,7,2025-03-28,0.0,0.761,0.239,0.6581,positive,0.44318181818181823,0.6772727272727272,positive
1e+18,Battery life on this iPhone is disappointing. Barely lasts half a day with normal use.,2025-03-24 15:54:36.956172+00:00,en,10,29,83,Twitter for Android,#iPhone,iphone,2025-03-24,15,Monday,battery life disappointing barely last half day normal use,battery life on this iphone is disappointing barely lasts half a day with normal use,"{'ORG': ['iPhone'], 'DATE': ['half a day']}",86,9,2025-03-28,0.186,0.814,0.0,-0.4939,negative,-0.14166666666666664,0.4041666666666666,negative
1e+18,Apple's iOS updates are so smooth. Love how my iPhone just works.,2025-03-24 13:54:36.956172+00:00,en,28,5,173,Twitter for iPhone,iPhone,iphone,2025-03-24,13,Monday,apple io update smooth love work,apples ios updates are so smooth love how my iphone just works,{'ORG': ['Apple']},65,6,2025-03-28,0.0,0.711,0.289,0.6682,positive,0.45,0.55,positive
1e+18,The iPhone display is gorgeous but I wish it didn't have that notch at the top.,2025-03-24 11:54:36.956172+00:00,en,47,17,88,Twitter for Android,Apple iPhone,iphone,2025-03-24,11,Monday,display gorgeous wish didnt notch top,the iphone display is gorgeous but i wish it didnt have that notch at the top,{'ORG': ['iPhone']},79,6,2025-03-28,0.0,0.612,0.388,0.8047,positive,0.6,0.7,positive
1e+18,iPhone prices are getting ridiculous. Is it really worth $1200 for a phone?,2025-03-24 09:54:36.956172+00:00,en,12,19,85,Twitter for Web,#iPhone,iphone,2025-03-24,9,Monday,price getting ridiculous really worth,iphone prices are getting ridiculous is it really worth for a phone,{'MONEY': ['1200']},75,5,2025-03-28,0.159,0.701,0.14,-0.079,negative,-0.016666666666666663,0.55,neutral
1e+18,Face ID on my new iPhone works perfectly even in low light. Great feature!,2025-03-24 07:54:36.956172+00:00,en,35,1,82,Twitter for Android,Apple iPhone,iphone,2025-03-24,7,Monday,face id new work perfectly even low light great feature,face id on my new iphone works perfectly even in low light great feature,{},74,10,2025-03-28,0.097,0.507,0.396,0.8172,positive,0.5072727272727272,0.6409090909090909,positive
1e+18,The iPhone camera is incredible for night photography. Best phone camera I've used.,2025-03-24 05:54:36.956172+00:00,en,39,4,69,Twitter for Android,#iPhone,iphone,2025-03-24,5,Monday,camera incredible night photography best camera ive used,the iphone camera is incredible for night photography best phone camera ive used,{'TIME': ['night']},83,8,2025-03-28,0.0,0.741,0.259,0.6369,positive,0.95,0.6,positive
1e+18,iPhone storage fills up way too quickly. 128GB should be the minimum option.,2025-03-24 03:54:36.956172+00:00,en,37,25,53,Twitter for Android,#iPhone,iphone,2025-03-24,3,Monday,storage fill way quickly gb minimum option,iphone storage fills up way too quickly gb should be the minimum option,"{'CARDINAL': ['128'], 'PERSON': ['GB']}",76,7,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.3333333333333333,0.5,positive
1e+18,Apple's build quality on the iPhone is second to none. This thing feels premium.,2025-03-24 01:54:36.956172+00:00,en,16,21,80,Twitter for Web,Apple iPhone,iphone,2025-03-24,1,Monday,apple build quality second none thing feel premium,apples build quality on the iphone is second to none this thing feels premium,"{'ORG': ['Apple', 'iPhone'], 'ORDINAL': ['second']}",80,8,2025-03-28,0.0,1.0,0.0,0.0,neutral,0.0,0.0,neutral
1e+18,iPhone performance is still great after a year of heavy use. Apple silicon is impressive.,2025-03-23 23:54:36.956172+00:00,en,37,3,173,Twitter for Web,Apple iPhone,iphone,2025-03-23,23,Sunday,performance still great year heavy use silicon impressive,iphone performance is still great after a year of heavy use apple silicon is impressive,"{'DATE': ['a year'], 'ORG': ['Apple']}",89,8,2025-03-28,0.0,0.637,0.363,0.8126,positive,0.5333333333333333,0.75,positive
1e+18,The iPhone ecosystem integration with my MacBook and iPad is seamless. Love it!,2025-03-23 21:54:36.956172+00:00,en,18,10,128,Twitter for Web,iPhone,iphone,2025-03-23,21,Sunday,ecosystem integration macbook ipad seamless love,the iphone ecosystem integration with my macbook and ipad is seamless love it,"{'ORG': ['MacBook', 'iPad']}",79,6,2025-03-28,0.0,0.728,0.272,0.6696,positive,0.3625,0.35,positive
1e+18,Why is iPhone battery degradation still such an issue? Mine's at 85% after just 8 months.,2025-03-23 19:54:36.956172+00:00,en,24,5,39,Twitter for iPhone,#iPhone,iphone,2025-03-23,19,Sunday,battery degradation still issue mine month,why is iphone battery degradation still such an issue mines at after just months,"{'ORG': ['Mine'], 'PERCENT': ['85%'], 'DATE': ['just 8 months']}",89,6,2025-03-28,0.185,0.815,0.0,-0.5267,negative,0.0,0.5,neutral
1e+18,iPhone's haptic feedback is so satisfying. Android phones just don't compare.,2025-03-23 17:54:36.956172+00:00,en,31,1,188,Twitter for iPhone,iPhone,iphone,2025-03-23,17,Sunday,iphones haptic feedback satisfying android phone dont compare,iphones haptic feedback is so satisfying android phones just dont compare,"{'ORG': ['iPhone', 'Android']}",77,8,2025-03-28,0.0,0.721,0.279,0.5949,positive,0.5,1.0,positive
1e+18,The new iPhone camera bump is huge. Makes the phone wobble on flat surfaces.,2025-03-23 15:54:36.956172+00:00,en,43,28,52,Twitter for Android,iPhone,iphone,2025-03-23,15,Sunday,new camera bump huge make wobble flat surface,the new iphone camera bump is huge makes the phone wobble on flat surfaces,{},76,8,2025-03-28,0.0,0.85,0.15,0.3182,positive,0.17045454545454544,0.49318181818181817,positive
1e+18,iPhone speakers are surprisingly good for such a slim device. Great stereo sound.,2025-03-23 13:54:36.956172+00:00,en,47,13,64,Twitter for iPhone,#iPhone,iphone,2025-03-23,13,Sunday,speaker surprisingly good slim device great stereo sound,iphone speakers are surprisingly good for such a slim device great stereo sound,{},81,8,2025-03-28,0.0,0.521,0.479,0.8481,positive,0.475,0.5625,positive
2e+18,The Galaxy S23 Ultra's 200MP camera is insane! Samsung really nailed it this year. #SamsungGalaxy,2025-03-24 17:54:36.956172+00:00,en,35,20,109,Twitter for iPhone,Galaxy S,galaxy,2025-03-24,17,Monday,ultras mp camera insane really nailed year samsunggalaxy,the galaxy s ultras mp camera is insane samsung really nailed it this year samsunggalaxy,"{'PRODUCT': ['200MP'], 'DATE': ['this year']}",97,8,2025-03-28,0.176,0.824,0.0,-0.4574,negative,-0.4,0.6,negative
